user_id,Name,Surname,book_id,rating,books_count,isbn,isbn13,authors,original_publication_year,title,language_code,average_rating,ratings_count,image_url,rating_counts,tag_name
2,Shari,Riggs,33,4,220,739326228,9780739326220.0,['Arthur Golden'],1997.0,Memoirs of a Geisha,eng,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 23500, 'ratings_2': 59033, 'ratings_3': 258700, 'ratings_4': 517157, 'ratings_5': 559782}","['to-read', 'fantasy', 'currently-reading', 'favorites', 'classics', 'fiction', 'owned', 'books-i-own', 'favourites', 'classic', 'tolkien', 'adventure', 'sci-fi-fantasy', 'default', 'series', 'owned-books', 'epic-fantasy', 'literature', 'high-fantasy', 'fantasy-sci-fi', 'novels', 'young-adult', 'all-time-favorites', 'epic', '1001-books', 'my-books', 're-read', 'scifi-fantasy', 'my-library', 'favorite-books', 'magic', 'library', 'british', 'sci-fi', 'science-fiction-fantasy', 'favorite', 'j-r-r-tolkien', 'kindle', 'fantasy-scifi', 'science-fiction', 'english', 'to-buy', 'shelfari-favorites', '1001', 'i-own', 'novel', 'books', 'middle-earth', 'adult', '20th-century', 'childhood', 'own-it', 'sci-fi-and-fantasy', 'classic-literature', 'lord-of-the-rings', 'to-re-read', 'fantasy-fiction', '5-stars', 'adult-fiction', 'fantasia', 'favourite', 'all-time-favourites', '1001-books-to-read-before-you-die', 'faves', 'read-more-than-once', 'my-favorites', 'finished', 'abandoned', 'ebook', 'british-literature', 'ebooks', 'favourite-books', 'on-hold', 'unfinished', 'home-library', 'fiction-fantasy', 'fantasy-science-fiction', 'ya', 'sf-fantasy', 'reread', 'to-reread', 'english-literature', 'must-read', 'speculative-fiction', 'fantasy-and-sci-fi', 'mythology', 'movies', 'have', 'audiobooks', 'modern-classics', 'war', 're-reading', 'jrr-tolkien', 'my-bookshelf', 'bookshelf', 'wish-list', 'paperback', 'gave-up-on', 're-reads', '1001-books-you-must-read-before-you']"
2,Christina,Park,26,4,350,307277674,9780307277670.0,['Dan Brown'],2003.0,The Da Vinci Code,eng,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg,"{'ratings_1': 71345, 'ratings_2': 126493, 'ratings_3': 340790, 'ratings_4': 539277, 'ratings_5': 479387}","['to-read', 'travel', 'non-fiction', 'currently-reading', 'nonfiction', 'humor', 'memoir', 'humour', 'favorites', 'owned', 'bill-bryson', 'travel-writing', 'books-i-own', 'memoirs', 'america', 'biography', 'funny', 'book-club', 'essays', 'comedy', 'library', 'usa', 'audiobook', 'default', 'travelogue', 'audiobooks', 'american', 'my-library', 'to-buy', 'americana', 'audio', 'adventure', 'bryson', 'biography-memoir', 'road-trip', 'fiction', 'travel-books', 'kindle', 'history', 'to-read-nonfiction', 'abandoned', 'autobiography', 'english', 'ebook', 'to-read-non-fiction', 'owned-books', 'contemporary', 'ebooks', 'travelogues', 'culture', 'adult', '20th-century', 'travel-adventure', 'united-states', 'travel-lit', 'favourites', 'did-not-finish', 'bookclub', 'home-library', 'audio-books', 'read-in-2010', 'wanderlust', 'travels', 'unfinished', 'non-fic', 'my-books', 'own-it', 'read-in-2011', 'wish-list', 'general-non-fiction', 'memoir-biography', 'humorous', '1980s', 'fun', 'north-america', 'factual', 'viaggi', 'narrativa', 'to-read-travel', 'bio-memoir', 'adult-non-fiction', 'us', 'bill', 'i-own', 'read-in-2015', 'favorite-authors', 'e-book', 'read-in-2013', 'paperback', 'non-fiction-travel', 'read-in-2008', 'writing', 'journalism', 'states', 'united', 'travel-literature', 'read-in-2016', 'read-in-2014', 'books-owned', 'bryson-bill']"
4,Kendra,Delgado,50,4,45,60513039,9780060513030.0,['Shel Silverstein'],1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg,"{'ratings_1': 16590, 'ratings_2': 30792, 'ratings_3': 139024, 'ratings_4': 293222, 'ratings_5': 544153}","['currently-reading', 'young-adult', 'fiction', 'adventure', 'favorites', 'to-read', 'classics', 'ya', 'survival', 'childrens', 'realistic-fiction', 'school', 'childhood', 'children', 'middle-grade', 'children-s', 'children-s-books', 'books-i-own', 'kids', 'read-for-school', 'owned', 'series', 'childhood-favorites', 'newbery', 'classic', 'for-school', 'school-books', 'juvenile', 'childrens-books', 'middle-school', 'kids-books', 'teen', 'childhood-books', 'coming-of-age', 'hatchet', 'youth', 'children-s-lit', 'novels', 'children-s-literature', 'ya-fiction', 'juvenile-fiction', 'newbery-honor', 'read-in-school', 'action-adventure', 'owned-books', 'childhood-reads', 'ya-lit', 'wilderness', 'audiobook', 'canada', 'gary-paulsen', 'library', 'chapter-books', 'young-adult-fiction', 'read-as-a-kid', 'audio', 'contemporary', 'childrens-lit', 'classroom-library', 'default', 'school-reads', 'realistic', 're-read', 'my-books', 'books', 'general-fiction', 'nature', 'contemporary-realistic-fiction', 'newberry', '6th-grade', '5th-grade', 'novel', 'audiobooks', 'ya-books', 'my-childhood', 'elementary-school', 'children-s-fiction', 'action', 'to-re-read', 'read-aloud', 'elementary', 'kid-lit', 'award-winners', 'my-library', 'kid-books', 'shelfari-favorites', 'to-buy', 'childrens-literature', 'childrens-fiction', 'school-reading', 'required-reading', 'i-own', 'young-adult-books', 'borrowed', 'boys', 'young-adult-lit', 'contemporary-fiction', 'middle-grades', 'tween', 'divorce']"
4,Travis,Moore,33,3,220,739326228,9780739326220.0,['Arthur Golden'],1997.0,Memoirs of a Geisha,eng,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 23500, 'ratings_2': 59033, 'ratings_3': 258700, 'ratings_4': 517157, 'ratings_5': 559782}","['to-read', 'fantasy', 'currently-reading', 'favorites', 'classics', 'fiction', 'owned', 'books-i-own', 'favourites', 'classic', 'tolkien', 'adventure', 'sci-fi-fantasy', 'default', 'series', 'owned-books', 'epic-fantasy', 'literature', 'high-fantasy', 'fantasy-sci-fi', 'novels', 'young-adult', 'all-time-favorites', 'epic', '1001-books', 'my-books', 're-read', 'scifi-fantasy', 'my-library', 'favorite-books', 'magic', 'library', 'british', 'sci-fi', 'science-fiction-fantasy', 'favorite', 'j-r-r-tolkien', 'kindle', 'fantasy-scifi', 'science-fiction', 'english', 'to-buy', 'shelfari-favorites', '1001', 'i-own', 'novel', 'books', 'middle-earth', 'adult', '20th-century', 'childhood', 'own-it', 'sci-fi-and-fantasy', 'classic-literature', 'lord-of-the-rings', 'to-re-read', 'fantasy-fiction', '5-stars', 'adult-fiction', 'fantasia', 'favourite', 'all-time-favourites', '1001-books-to-read-before-you-die', 'faves', 'read-more-than-once', 'my-favorites', 'finished', 'abandoned', 'ebook', 'british-literature', 'ebooks', 'favourite-books', 'on-hold', 'unfinished', 'home-library', 'fiction-fantasy', 'fantasy-science-fiction', 'ya', 'sf-fantasy', 'reread', 'to-reread', 'english-literature', 'must-read', 'speculative-fiction', 'fantasy-and-sci-fi', 'mythology', 'movies', 'have', 'audiobooks', 'modern-classics', 'war', 're-reading', 'jrr-tolkien', 'my-bookshelf', 'bookshelf', 'wish-list', 'paperback', 'gave-up-on', 're-reads', '1001-books-you-must-read-before-you']"
4,Christine,Molina,28,3,458,140283331,9780140283330.0,['William Golding'],1954.0,Lord of the Flies ,eng,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg,"{'ratings_1': 92779, 'ratings_2': 160295, 'ratings_3': 425648, 'ratings_4': 564916, 'ratings_5': 427846}","['to-read', 'travel', 'non-fiction', 'currently-reading', 'nonfiction', 'humor', 'memoir', 'humour', 'favorites', 'england', 'owned', 'books-i-own', 'travel-writing', 'biography', 'bill-bryson', 'memoirs', 'audiobook', 'funny', 'britain', 'kindle', 'british', 'comedy', 'essays', 'default', 'library', 'audiobooks', 'travelogue', 'audio', 'history', 'biography-memoir', 'fiction', 'owned-books', 'europe', 'uk', 'abandoned', 'favourites', 'autobiography', 'audio-books', 'english', 'adult', 'bryson', 'contemporary', 'travel-books', 'culture', 'read-in-2016', 'ebook', 'my-library', 'travel-adventure', 'adventure', '20th-century', 'to-read-non-fiction', 'book-club', 'unfinished', 'did-not-finish', 'ebooks', 'humorous', 'to-buy', 'travelogues', 'memoir-biography', 'didn-t-finish', 'audible', 'my-books', 'i-own', 'wish-list', '1990s', 'bbc-100', '100-books-to-read-before-you-die', 'own-it', 'bio-memoir', 'american', 'to-read-nonfiction', 'general-non-fiction', 'non-fic', 'gave-up-on', 'bbc-list', 'kindle-books', 'audio-book', 'non-fiction-to-read', 're-read', 'nonfic', 'geography', 'wanderlust', 'borrowed', 'dnf', 'fun', 'great-britain', 'bbc', 'anglophilia', 'bill', 'e-book', 'finished', 'biographical', 'paperback', 'london', 'non-fiction-travel', 'writing', 'nf', 'bbc-top-100', 'read-in-2015', 'read-in-2017']"
4,Todd,Parrish,13,4,995,451524934,9780451524940.0,"['George Orwell', 'Erich Fromm', 'Celâl Üster']",1949.0,Nineteen Eighty-Four,eng,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg,"{'ratings_1': 41845, 'ratings_2': 86425, 'ratings_3': 324874, 'ratings_4': 692021, 'ratings_5': 908229}","['to-read', 'currently-reading', 'favorites', 'science-fiction', 'sci-fi', 'fiction', 'humor', 'fantasy', 'owned', 'classics', 'scifi', 'books-i-own', 'comedy', 'sci-fi-fantasy', 'humour', 'favourites', 'default', 'series', 'funny', 'owned-books', 'sf', 'adventure', 'novels', 'kindle', 'scifi-fantasy', 'fantasy-sci-fi', 'my-books', 'my-library', 'library', 'to-buy', 'classic', 'douglas-adams', 'english', 'science', 'british', 'all-time-favorites', 'science-fiction-fantasy', 'literature', 'space', 're-read', 'i-own', 'adult', 'shelfari-favorites', 'speculative-fiction', 'ebook', 'fantasy-scifi', 'satire', 'on-hold', 'sci-fi-and-fantasy', 'unfinished', 'abandoned', 'books', 'novel', 'ebooks', 'aliens', 'favorite', 'young-adult', 'favorite-books', 'own-it', 'adult-fiction', '1001-books', 'humorous', 'have', 'sff', 'fun', 'to-re-read', '20th-century', 'contemporary', 'collection', 'time-travel', 'home-library', 'bookshelf', 'sf-fantasy', 'personal-library', 'hardcover', 'on-my-shelf', 'to-reread', 'faves', 'recommended', 'wish-list', 'anthology', 'science-fiction-and-fantasy', '1001', 'sciencefiction', 'hilarious', 'e-book', 'e-books', 'space-opera', 'omnibus', 'collections', '5-stars', 'audiobooks', 'my-favorites', 'all-time-favourites', 'my-bookshelf', 'philosophy', 'did-not-finish', 'partially-read', 'nook', 'calibre']"
4,John,Hicks,249,4,104,618711651,9780618711660.0,['Jonathan Safran Foer'],2005.0,Extremely Loud and Incredibly Close,en-US,3.97,294726,https://images.gr-assets.com/books/1327879967m/4588.jpg,"{'ratings_1': 8847, 'ratings_2': 20556, 'ratings_3': 61303, 'ratings_4': 109008, 'ratings_5': 119402}","['to-read', 'fiction', 'classics', 'favorites', 'owned', 'owned-books', 'classic', 'unfinished', 'literary-fiction', 'american-literature', 'books-i-own', 'literature', 'kindle', 'erotic', 'modern-library-top-100', 'my-library', 'novels', 'american', 'library', 'ebook', 'did-not-finish', 'adult-fiction', 'classics-to-read', 'lit', 'favourites', '1001-import', 'memoir', '1001-books-you-must-read-before-you', 'modern-library-100-best-novels', 'romance', 'non-fiction', 'erótica', 'general-fiction', '20th-century', 'classic-literature', '1001-books', '1001-books-to-read', 'must-read', 'top-100', 'novel', 'contemporary', 'time-top-100', 'currently-reading', 'default', 'ebooks', 'didn-t-finish', 'to-read-classics', 'have', 'europe', '1001', 'autobiography', 'bookclub', 'all-time-100-novels', 'to-buy', 'american-fiction', 'gave-up-on', 'banned-books', 'narrativa', 'modern-library', 'english', 'books', '1001-to-read', 'abandoned', 'couldn-t-finish', 'americana', 'maybe', 'dnf', 'home', 'paris', 'stream-of-consciousness', 'henry-miller', 'my-books', 'shelfari-wishlist', 'home-library', 'america', 'modern', 'fiction-to-read', 'stopped-reading', 'art-of-manliness', 'drama', 'recommended', 'finished', 'on-the-shelf', 'unread', 'calibre', 'personal-library', 'own-to-read', 'lost-generation', '100-essential-novels', 'banned-challenged', 'all-time-favorites', 'to-read-fiction', '1900s', 'tbr', 'never-finished', 'could-not-finish', 'controversial', 'shelfari-favorites', 'usa', 'modern-classics']"
4,Alexander,Carter,10,5,3455,679783261,9780679783270.0,['Jane Austen'],1813.0,Pride and Prejudice,eng,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg,"{'ratings_1': 54700, 'ratings_2': 86485, 'ratings_3': 284852, 'ratings_4': 609755, 'ratings_5': 1155673}","['to-read', 'favorites', 'fantasy', 'currently-reading', 'fiction', 'harry-potter', 'young-adult', 'magic', 'ya', 'series', 'childrens', 'books-i-own', 'adventure', 'children', 'shelfari-favorites', 'favourites', 'owned-books', 'fantasy-sci-fi', 're-read', 'j-k-rowling', 'classics', 'jk-rowling', 'my-favorites', 'harrypotter', 'owned', 'children-s', 'all-time-favorites', 'children-s-books', 'witches', 'wizards', 'favs', 'my-books', 'favorite-books', 'favorite', 'sci-fi-fantasy', 'childhood', 'kids', 'teen', 'english', 'childhood-favorites', 'fantasy-fiction', 'read-again', 'love', 'paranormal', 'faves', 'favourite', '5-star', 'children-s-literature', 'loved', 'young-adult-lit', 'harry', '5-stars', 'novels', 'urban-fantasy', 'harry-potter-series', 'childrens-books', 'novel', 'favorite-series', 'juvenile', 'youth', 'shelfari-wishlist', 'fantasy-and-sci-fi', 'not-interested', 'other', 'friendship', 'awesome', 'youngadult', 'dragons', 'i-own', 'audiobook', 'audiobooks', 'read-more-than-once', 'ya-fantasy', 'british', 'books', 'mystery', 'ya-fiction', 'young-adult-fiction', 'to-buy', 'to-re-read', 'all-time-favourites', 'contemporary', 'childhood-books', 'potter', 'have', 'home-library', 'fantasy-read', 'young-adult-books', 'part-of-a-series', 'epic-fantasy', 'children-s-fiction', 'amazing', 'absolute-favorites', 'teen-books', 'just-for-fun', 'action-adventure', 'box-sets', 'loved-it', 'done', 'fav-books']"
4,Michael,Bond,117,4,165,440498058,9780440498060.0,"[""Madeleine L'Engle""]",1962.0,A Wrinkle in Time,en-US,4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg,"{'ratings_1': 17313, 'ratings_2': 34988, 'ratings_3': 119115, 'ratings_4': 209745, 'ratings_5': 268933}","['to-read', 'science-fiction', 'sci-fi', 'fiction', 'currently-reading', 'dune', 'scifi', 'owned', 'fantasy', 'sf', 'default', 'favorites', 'sci-fi-fantasy', 'series', 'books-i-own', 'scifi-fantasy', 'frank-herbert', 'space-opera', 'classics', 'library', 'science', 'fantasy-sci-fi', 'owned-books', 'dune-series', 'audiobook', 'to-buy', 'science-fiction-fantasy', 'novels', 'ebooks', 'kindle', 'books', 'dune-chronicles', 'my-library', 'ebook', 'sf-fantasy', 'herbert', 'speculative-fiction', 'religion', 'english', 'novel', 'space', 'science-fiction-and-fantasy', 'adventure', 'e-books', 'my-books', 'sci-fi-and-fantasy', 'herbert-frank', 'own-it', 'literature', 'paperback', 'calibre', 'epic', 'american', 'classic', 'audible', 'philosophy', 'sciencefiction', 'fantascienza', 'audiobooks', 'i-own', 'other', 're-read', 'home-library', 'general', 'unread', 'audio', 'abandoned', 'politics', 'sff', 'sf-f', 'ciencia-ficcion', 'ciencia-ficción', 'on', 'to-read-fiction', '20th-century', 'classic-sci-fi', 'imaginary', 'not-read', 'fantasy-sf', 'place', 'shelfari-favorites', 'american-literature', 'adult', 'life', 'to-get', 'finished', 'speculative', 'robots', 's-f', 'planets', 'read-in-english', 'bookshelf', 'have', 'adult-fiction', 'scanned', 'all', 'read-sci-fi', 'fantasy-scifi', 'owned-to-read', 'in-library']"
4,Hector,Ramirez,3273,2,66,99468190,9780099468200.0,['John Grisham'],2003.0,Bleachers,eng,3.46,27719,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 1205, 'ratings_2': 4038, 'ratings_3': 10776, 'ratings_4': 9245, 'ratings_5': 5713}","['to-read', 'historical-fiction', 'currently-reading', 'book-club', 'fiction', 'favorites', 'historical', 'hawaii', 'bookclub', 'books-i-own', 'book-club-books', 'owned', 'adult-fiction', 'adult', 'kindle', 'history', 'leprosy', 'book-group', 'book-club-reads', 'library', 'coming-of-age', 'to-buy', 'wish-list', 'favorite-books', '19th-century', 'shelfari-favorites', 'owned-books', 'novels', 'ebook', 'read-in-2012', 'abandoned', 'young-adult', 'audiobook', 'audio', 'my-favorites', 'audible', 'cultural', 'book-club-selections', 'literature', 'audiobooks', 'read-in-2014', 'general-fiction', 'favorite', 'literary-fiction', 'to-read-fiction', 'didn-t-finish', 'read-in-2009', 'molokai', 'all-time-favorites', 'realistic-fiction', 'maybe', 'finished', 'american-history', 'read-in-2010', 'i-own', 'historicalfiction', 'medical', 'read-in-2015', 'romance', 'book-club-picks', 'family', 'ebooks', 'contemporary', 'book-club-selection', 'culture', 'my-library', 'friendship', 'read-in-2013', 'travel', 'book-club-book', 'historic-fiction', 'ya', 'own-it', 'novel', 'loved', 'contemporary-fiction', 'read-in-2011', 'audio-books', 'tbr', 'family-relationships', 'want-to-read', 'relationships', 'fiction-historical', 'read-in-2016', 'drama', 'did-not-finish', 'fiction-to-read', 'couldn-t-finish', 'book-club-read', '2011-reads', 'default', 'shelfari-wishlist', 'usa', 'read-2015', 'read-2013', 'recommended', 'unfinished', 'read-in-2008', 'book-club-suggestions', '2015-reading-challenge']"
