user_id,user_name,ratings,to_read
1,Mary Martinez,"[{'book': {'book_id': 47, 'goodreads_book_id': 19063, 'work_id': 878368, 'authors': ['Markus Zusak'], 'title': 'The Book Thief', 'isbn': '375831002', 'isbn13': 9780375831000.0, 'language_code': 'eng', 'average_rating': 4.36, 'ratings_count': 1159741, 'image_url': 'https://images.gr-assets.com/books/1390053681m/19063.jpg', 'tags': [{'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 30574, 'tag_name': 'to-read'}]}, 'rating': 3}, {'book': {'book_id': 5556, 'goodreads_book_id': 3656, 'work_id': 987554, 'authors': ['John Banville'], 'title': 'The Sea', 'isbn': '1400097029', 'isbn13': 9781400097030.0, 'language_code': 'eng', 'average_rating': 3.49, 'ratings_count': 16558, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}]}, 'rating': 3}]","[{'book': {'book_id': 112, 'goodreads_book_id': 15507958, 'work_id': 17763198, 'authors': ['Jojo Moyes'], 'title': 'Me Before You', 'isbn': '670026603', 'isbn13': 9780670026610.0, 'language_code': 'eng', 'average_rating': 4.27, 'ratings_count': 587647, 'image_url': 'https://images.gr-assets.com/books/1357108762m/15507958.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11557, 'tag_name': 'favorites'}]}}, {'book': {'book_id': 112, 'goodreads_book_id': 15507958, 'work_id': 17763198, 'authors': ['Jojo Moyes'], 'title': 'Me Before You', 'isbn': '670026603', 'isbn13': 9780670026610.0, 'language_code': 'eng', 'average_rating': 4.27, 'ratings_count': 587647, 'image_url': 'https://images.gr-assets.com/books/1357108762m/15507958.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11557, 'tag_name': 'favorites'}]}}]"
2,Adam Lewis,"[{'book': {'book_id': 2318, 'goodreads_book_id': 998, 'work_id': 5210, 'authors': ['Thomas J. Stanley', 'William D. Danko'], 'title': ""The Millionaire Next Door: The Surprising Secrets of America's Wealthy"", 'isbn': '671015206', 'isbn13': 9780671015210.0, 'language_code': 'eng', 'average_rating': 4.0, 'ratings_count': 43937, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}, 'rating': 3}, {'book': {'book_id': 9296, 'goodreads_book_id': 4887, 'work_id': 821815, 'authors': ['Alice  Miller', 'Ruth Ward'], 'title': 'Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung', 'isbn': '465016901', 'isbn13': 9780465016910.0, 'language_code': 'en-GB', 'average_rating': 4.09, 'ratings_count': 9563, 'image_url': 'https://images.gr-assets.com/books/1339395245m/4887.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 24526, 'tag_name': 'psychology'}]}, 'rating': 5}]","[{'book': {'book_id': 92, 'goodreads_book_id': 1202, 'work_id': 5397, 'authors': ['Steven D. Levitt', 'Stephen J. Dubner'], 'title': 'Freakonomics: A Rogue Economist Explores the Hidden Side of Everything', 'isbn': '61234001', 'isbn13': 9780061234000.0, 'language_code': 'en-US', 'average_rating': 3.93, 'ratings_count': 524191, 'image_url': 'https://images.gr-assets.com/books/1327909092m/1202.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 21773, 'tag_name': 'nonfiction'}]}}, {'book': {'book_id': 92, 'goodreads_book_id': 1202, 'work_id': 5397, 'authors': ['Steven D. Levitt', 'Stephen J. Dubner'], 'title': 'Freakonomics: A Rogue Economist Explores the Hidden Side of Everything', 'isbn': '61234001', 'isbn13': 9780061234000.0, 'language_code': 'en-US', 'average_rating': 3.93, 'ratings_count': 524191, 'image_url': 'https://images.gr-assets.com/books/1327909092m/1202.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 21773, 'tag_name': 'nonfiction'}]}}]"
4,Tracy Howard,"[{'book': {'book_id': 50, 'goodreads_book_id': 30119, 'work_id': 30518, 'authors': ['Shel Silverstein'], 'title': 'Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein', 'isbn': '60513039', 'isbn13': 9780060513030.0, 'language_code': 'eng', 'average_rating': 4.29, 'ratings_count': 1016888, 'image_url': 'https://images.gr-assets.com/books/1168052448m/30119.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 23831, 'tag_name': 'poetry'}]}, 'rating': 4}, {'book': {'book_id': 85, 'goodreads_book_id': 370493, 'work_id': 30530, 'authors': ['Shel Silverstein'], 'title': 'The Giving Tree', 'isbn': '60256656', 'isbn13': 9780060256650.0, 'language_code': 'eng', 'average_rating': 4.38, 'ratings_count': 702332, 'image_url': 'https://images.gr-assets.com/books/1174210942m/370493.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11557, 'tag_name': 'favorites'}]}, 'rating': 5}]",
6,Daniel Spears,"[{'book': {'book_id': 6351, 'goodreads_book_id': 3858, 'work_id': 4227, 'authors': ['Sarah Macdonald'], 'title': 'Holy Cow: An Indian Adventure', 'isbn': '767915747', 'isbn13': 9780767915750.0, 'language_code': 'eng', 'average_rating': 3.51, 'ratings_count': 13627, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 31155, 'tag_name': 'travel'}]}, 'rating': 4}]","[{'book': {'book_id': 5537, 'goodreads_book_id': 5752, 'work_id': 9151, 'authors': ['Steven Pinker'], 'title': 'The Blank Slate: The Modern Denial of Human Nature', 'isbn': '142003344', 'isbn13': 9780142003340.0, 'language_code': 'eng', 'average_rating': 4.07, 'ratings_count': 15647, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 26816, 'tag_name': 'science'}]}}, {'book': {'book_id': 5269, 'goodreads_book_id': 38412, 'work_id': 38182, 'authors': ['Simon Singh'], 'title': ""Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem"", 'isbn': '385493622', 'isbn13': 9780385493630.0, 'language_code': 'eng', 'average_rating': 4.22, 'ratings_count': 15738, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 26816, 'tag_name': 'science'}]}}]"
8,Robert Fitzgerald,"[{'book': {'book_id': 1364, 'goodreads_book_id': 17876, 'work_id': 19376, 'authors': ['Fyodor Dostoyevsky', 'Andrew R. MacAndrew', 'Ben Marcus'], 'title': 'Записки из подполья', 'isbn': '451529553', 'isbn13': 9780451529560.0, 'language_code': 'eng', 'average_rating': 4.17, 'ratings_count': 65900, 'image_url': 'https://images.gr-assets.com/books/1411241656m/17876.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}, 'rating': 4}, {'book': {'book_id': 1967, 'goodreads_book_id': 30659, 'work_id': 31010, 'authors': ['Marcus Aurelius', 'Martin Hammond', 'Diskin Clay'], 'title': 'Τὰ εἰς ἑαυτόν ', 'isbn': '140449337', 'isbn13': 9780140449330.0, 'language_code': 'eng', 'average_rating': 4.2, 'ratings_count': 43876, 'image_url': 'https://images.gr-assets.com/books/1421618636m/30659.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 7457, 'tag_name': 'classics'}]}, 'rating': 3}]","[{'book': {'book_id': 8792, 'goodreads_book_id': 17877, 'work_id': 320469, 'authors': ['Fyodor Dostoyevsky', 'Ergin Altay'], 'title': 'Записки из Мёртвого дома', 'isbn': '486434095', 'isbn13': 9780486434090.0, 'language_code': 'eng', 'average_rating': 4.03, 'ratings_count': 8354, 'image_url': 'https://images.gr-assets.com/books/1327908745m/17877.jpg', 'tags': [{'tag_id': 7457, 'tag_name': 'classics'}, {'tag_id': 30574, 'tag_name': 'to-read'}]}}, {'book': {'book_id': 8792, 'goodreads_book_id': 17877, 'work_id': 320469, 'authors': ['Fyodor Dostoyevsky', 'Ergin Altay'], 'title': 'Записки из Мёртвого дома', 'isbn': '486434095', 'isbn13': 9780486434090.0, 'language_code': 'eng', 'average_rating': 4.03, 'ratings_count': 8354, 'image_url': 'https://images.gr-assets.com/books/1327908745m/17877.jpg', 'tags': [{'tag_id': 7457, 'tag_name': 'classics'}, {'tag_id': 30574, 'tag_name': 'to-read'}]}}]"
9,Lori Aguilar,"[{'book': {'book_id': 1923, 'goodreads_book_id': 4143, 'work_id': 731, 'authors': ['David Sedaris'], 'title': 'Barrel Fever: Stories and Essays', 'isbn': '316779423', 'isbn13': 9780316779420.0, 'language_code': 'en-US', 'average_rating': 3.78, 'ratings_count': 44679, 'image_url': 'https://images.gr-assets.com/books/1453273003m/4143.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 15048, 'tag_name': 'humor'}]}, 'rating': 4}, {'book': {'book_id': 1457, 'goodreads_book_id': 363752, 'work_id': 8140, 'authors': ['Helen Fielding'], 'title': 'Bridget Jones: The Edge of Reason', 'isbn': '140298479', 'isbn13': 9780140298480.0, 'language_code': 'eng', 'average_rating': 3.53, 'ratings_count': 73093, 'image_url': 'https://images.gr-assets.com/books/1395233618m/363752.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 6750, 'tag_name': 'chick-lit'}]}, 'rating': 1}]","[{'book': {'book_id': 3650, 'goodreads_book_id': 6748, 'work_id': 574, 'authors': ['David Foster Wallace'], 'title': ""A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments"", 'isbn': '316925284', 'isbn13': 9780316925280.0, 'language_code': 'en-GB', 'average_rating': 4.28, 'ratings_count': 23272, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}}, {'book': {'book_id': 3650, 'goodreads_book_id': 6748, 'work_id': 574, 'authors': ['David Foster Wallace'], 'title': ""A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments"", 'isbn': '316925284', 'isbn13': 9780316925280.0, 'language_code': 'en-GB', 'average_rating': 4.28, 'ratings_count': 23272, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}}]"
10,Sarah Graham,"[{'book': {'book_id': 199, 'goodreads_book_id': 12691, 'work_id': 14961, 'authors': ['John Grogan'], 'title': ""Marley & Me: Life and Love with the World's Worst Dog"", 'isbn': '739461192', 'isbn13': 9780739461200.0, 'language_code': 'eng', 'average_rating': 4.12, 'ratings_count': 367304, 'image_url': 'https://images.gr-assets.com/books/1308858322m/12691.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}]}, 'rating': 4}, {'book': {'book_id': 495, 'goodreads_book_id': 4953, 'work_id': 42857, 'authors': ['Dave Eggers'], 'title': 'A Heartbreaking Work of Staggering Genius', 'isbn': '375725784', 'isbn13': 9780375725780.0, 'language_code': 'eng', 'average_rating': 3.68, 'ratings_count': 145459, 'image_url': 'https://images.gr-assets.com/books/1327714834m/4953.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}, 'rating': 3}]","[{'book': {'book_id': 3059, 'goodreads_book_id': 40745, 'work_id': 40330, 'authors': ['Carol S. Dweck'], 'title': 'Mindset: The New Psychology of Success', 'isbn': '1400062756', 'isbn13': 9781400062750.0, 'language_code': 'en-US', 'average_rating': 4.04, 'ratings_count': 31174, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}]}}, {'book': {'book_id': 3059, 'goodreads_book_id': 40745, 'work_id': 40330, 'authors': ['Carol S. Dweck'], 'title': 'Mindset: The New Psychology of Success', 'isbn': '1400062756', 'isbn13': 9781400062750.0, 'language_code': 'en-US', 'average_rating': 4.04, 'ratings_count': 31174, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}]}}]"
11,Lori Diaz,"[{'book': {'book_id': 574, 'goodreads_book_id': 33313, 'work_id': 4219, 'authors': ['Anthony Bourdain'], 'title': 'Kitchen Confidential: Adventures in the Culinary Underbelly', 'isbn': '60899220', 'isbn13': 9780060899230.0, 'language_code': 'eng', 'average_rating': 4.0, 'ratings_count': 134177, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}, 'rating': 3}, {'book': {'book_id': 495, 'goodreads_book_id': 4953, 'work_id': 42857, 'authors': ['Dave Eggers'], 'title': 'A Heartbreaking Work of Staggering Genius', 'isbn': '375725784', 'isbn13': 9780375725780.0, 'language_code': 'eng', 'average_rating': 3.68, 'ratings_count': 145459, 'image_url': 'https://images.gr-assets.com/books/1327714834m/4953.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}, 'rating': 3}]","[{'book': {'book_id': 3643, 'goodreads_book_id': 175675, 'work_id': 551195, 'authors': ['E.L. Doctorow'], 'title': 'Ragtime', 'isbn': '812978188', 'isbn13': 9780812978190.0, 'language_code': 'eng', 'average_rating': 3.88, 'ratings_count': 26815, 'image_url': 'https://images.gr-assets.com/books/1320531790m/175675.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}]}}, {'book': {'book_id': 3643, 'goodreads_book_id': 175675, 'work_id': 551195, 'authors': ['E.L. Doctorow'], 'title': 'Ragtime', 'isbn': '812978188', 'isbn13': 9780812978190.0, 'language_code': 'eng', 'average_rating': 3.88, 'ratings_count': 26815, 'image_url': 'https://images.gr-assets.com/books/1320531790m/175675.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}]}}]"
15,Matthew Gomez,"[{'book': {'book_id': 92, 'goodreads_book_id': 1202, 'work_id': 5397, 'authors': ['Steven D. Levitt', 'Stephen J. Dubner'], 'title': 'Freakonomics: A Rogue Economist Explores the Hidden Side of Everything', 'isbn': '61234001', 'isbn13': 9780061234000.0, 'language_code': 'en-US', 'average_rating': 3.93, 'ratings_count': 524191, 'image_url': 'https://images.gr-assets.com/books/1327909092m/1202.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 21773, 'tag_name': 'nonfiction'}]}, 'rating': 4}, {'book': {'book_id': 337, 'goodreads_book_id': 13, 'work_id': 135328, 'authors': ['Douglas Adams'], 'title': ""The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story"", 'isbn': '345453743', 'isbn13': 9780345453750.0, 'language_code': 'eng', 'average_rating': 4.37, 'ratings_count': 222842, 'image_url': 'https://images.gr-assets.com/books/1404613595m/13.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]}, 'rating': 5}]","[{'book': {'book_id': 275, 'goodreads_book_id': 49750, 'work_id': 48658, 'authors': ['John Green'], 'title': 'An Abundance of Katherines', 'isbn': '525476881', 'isbn13': 9780525476890.0, 'language_code': 'eng', 'average_rating': 3.63, 'ratings_count': 312754, 'image_url': 'https://images.gr-assets.com/books/1360206426m/49750.jpg', 'tags': [{'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 33114, 'tag_name': 'young-adult'}]}}, {'book': {'book_id': 275, 'goodreads_book_id': 49750, 'work_id': 48658, 'authors': ['John Green'], 'title': 'An Abundance of Katherines', 'isbn': '525476881', 'isbn13': 9780525476890.0, 'language_code': 'eng', 'average_rating': 3.63, 'ratings_count': 312754, 'image_url': 'https://images.gr-assets.com/books/1360206426m/49750.jpg', 'tags': [{'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 33114, 'tag_name': 'young-adult'}]}}]"
18,Dale Peterson,"[{'book': {'book_id': 1923, 'goodreads_book_id': 4143, 'work_id': 731, 'authors': ['David Sedaris'], 'title': 'Barrel Fever: Stories and Essays', 'isbn': '316779423', 'isbn13': 9780316779420.0, 'language_code': 'en-US', 'average_rating': 3.78, 'ratings_count': 44679, 'image_url': 'https://images.gr-assets.com/books/1453273003m/4143.jpg', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 15048, 'tag_name': 'humor'}]}, 'rating': 4}, {'book': {'book_id': 3551, 'goodreads_book_id': 41913, 'work_id': 1142, 'authors': ['P.D. James'], 'title': 'The Children of Men', 'isbn': '307279901', 'isbn13': 9780307279900.0, 'language_code': 'eng', 'average_rating': 3.69, 'ratings_count': 28139, 'image_url': 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png', 'tags': [{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}]}, 'rating': 2}]",
